Name,Country,Industry,mvUsd
Aedas Homes SA,Spain,Real Estate,8542110
Aedifica SA,Belgium,Real Estate,83830814
Aegean Airlines SA,Greece,Consumer Discretionary,3500367
Aegis Logistics Ltd,India,Energy,37488231
Aegon NV,Netherlands,Financials,266752095
Aekyung Industrial Co Ltd,South Korea,Consumer Staples,464725
Aena SME SA,Spain,Industrials,173774053
Aeon Co Ltd,Japan,Consumer Staples,163401203
Aeon Co M Bhd,Malaysia,Consumer Discretionary,5402465
Aeon Delight Co Ltd,Japan,Industrials,3773004
Aeon Fantasy Co Ltd,Japan,Consumer Discretionary,8762113
Aeon Hokkaido Corp,Japan,Consumer Discretionary,94053
Aeon Mall Co Ltd,Japan,Real Estate,16210416
AerCap Holdings NV,United States,Industrials,70546496
Aeris Industria E Comercio De Equipamentos Para Geracao De Energia SA,Brazil,Energy,154312
Aeris Resources Ltd,Australia,Basic Materials,7793368
AeroVironment Inc,United States,Industrials,797666
Aerometrex Ltd,Australia,Industrials,806619
Aeroports de Paris,France,Industrials,106201472
Aerospace Industrial Development Corp,Taiwan,Industrials,27316580
Affiliated Managers Group Inc,United States,Financials,74918695
Affimed NV,Germany,Health Care,812944
Affirm Holdings Inc,United States,Industrials,20432314
Affle India Ltd,India,Technology,5537495
Aflac Inc,United States,Financials,164833964
AfreecaTV Co Ltd,South Korea,Technology,5847630
African Rainbow Minerals Ltd,South Africa,Basic Materials,44709939
Afrimat Ltd,South Africa,Industrials,20231603
AfroCentric Investment Corp Ltd,South Africa,Health Care,4988957
Agabang&Company,South Korea,Consumer Discretionary,96011
Ageas SA/NV,Belgium,Financials,70228076
Agile Group Holdings Ltd,China,Real Estate,8231
Agilent Technologies Inc,United States,Health Care,382694408
Agility Public Warehousing Co KSC,Kuwait,Industrials,11881967
Agios Pharmaceuticals Inc,United States,Health Care,9926336
Agnico Eagle Mines Ltd,Canada,Basic Materials,280073808
Agora SA,Poland,Consumer Discretionary,1619328
Agrana Beteiligungs AG,Austria,Consumer Staples,3693066
Agree Realty Corp,United States,Real Estate,17776406
Agricultural Bank of China Ltd,China,Financials,120968902
Agthia Group PJSC,United Arab Emirates,Consumer Staples,35014052
Aguas Andinas SA,Chile,Utilities,6367342
Ahnlab Inc,South Korea,Technology,2613511
Ai Holdings Corp,Japan,Technology,4828448
Aica Kogyo Co Ltd,Japan,Industrials,16776203
Aichi Corp,Japan,Industrials,2032026
Aichi Financial Group Inc,Japan,Financials,3859622
Aichi Steel Corp,Japan,Basic Materials,1811541
Aida Engineering Ltd,Japan,Industrials,13972348
Aier Eye Hospital Group Co Ltd,China,Health Care,14525756
Aiful Corp,Japan,Financials,3560757
Ailleron SA,Poland,Technology,1406615
Ain Holdings Inc,Japan,Consumer Staples,34251922
Ainsworth Game Technology Ltd,Australia,Consumer Discretionary,2076
Aiphone Co Ltd,Japan,Industrials,1989795
Air Arabia PJSC,United Arab Emirates,Consumer Discretionary,27794304
Air Canada,Canada,Consumer Discretionary,25334836
Air China Ltd,China,Consumer Discretionary,35478486
Air France-KLM,France,Consumer Discretionary,38453461
Air Lease Corp,United States,Industrials,41845681
Air Liquide SA,France,Basic Materials,1851482534
Air New Zealand Ltd,New Zealand,Consumer Discretionary,16388973
Air Products and Chemicals Inc,United States,Basic Materials,945989521
Air Transport Services Group Inc,United States,Industrials,5560967
Air Water Inc,Japan,Basic Materials,32102913
AirAsia X Bhd,Malaysia,Consumer Discretionary,160318
Airbnb Inc,United States,Consumer Discretionary,339438249
Airport City Ltd,Israel,Real Estate,1028385
Airport Facilities Co Ltd,Japan,Real Estate,1185070
Airports Corp of Vietnam JSC,Vietnam,Industrials,7508355
Airports of Thailand PCL,Thailand,Industrials,60726108
Airtac International Group,Taiwan,Industrials,99865854
Airtech Japan Ltd,Japan,Industrials,226
Airtel Africa PLC,United Kingdom,Telecommunications,36283630
Airtrip Corp,Japan,Consumer Discretionary,2555915
Aisan Industry Co Ltd,Japan,Consumer Discretionary,38230
Aisin Corp,Japan,Consumer Discretionary,55276226
Aitken Spence Hotel Holdings PLC,Sri Lanka,Consumer Discretionary,172808
Aitken Spence PLC,Sri Lanka,Industrials,3754616
Ajanta Pharma Ltd,India,Health Care,4947607
Ajinomoto Co Inc,Japan,Consumer Staples,210543499
Akamai Technologies Inc,United States,Technology,74147245
Akatsuki Inc,Japan,Consumer Discretionary,3475294
Akbank TAS,Turkey,Financials,56918024
Akebono Brake Industry Co Ltd,Japan,Consumer Discretionary,87423
Akero Therapeutics Inc,United States,Health Care,9584520
Akeso Inc,China,Health Care,100045284
Akita Bank Ltd/The,Japan,Financials,2050083
Aksa Akrilik Kimya Sanayii AS,Turkey,Basic Materials,47665152
Aksa Enerji Uretim AS,Turkey,Utilities,3138439
Akzo Nobel NV,Netherlands,Basic Materials,349005165
Al Faleh Educational Holding Co,Qatar,Consumer Discretionary,1656745
Alamos Gold Inc,Canada,Basic Materials,41336242
Alantra Partners SA,Spain,Financials,1868842
Alarm.com Holdings Inc,United States,Technology,24722237
Alaska Air Group Inc,United States,Consumer Discretionary,30979535
Albany International Corp,United States,Industrials,32911412
Albemarle Corp,United States,Basic Materials,69758657
Albertsons Cos Inc,United States,Consumer Staples,109046440
Alchip Technologies Ltd,Taiwan,Technology,46119523
Alcoa Corp,United States,Basic Materials,128591797
Alcon Inc,Switzerland,Health Care,797402209
Alconix Corp,Japan,Basic Materials,2335025
Aldar Properties PJSC,United Arab Emirates,Real Estate,130777598
Alector Inc,United States,Health Care,5287904
Alembic Pharmaceuticals Ltd,India,Health Care,834676
Alerion Cleanpower SpA,Italy,Utilities,3706692
AlerisLife Inc,United States,Health Care,7506
Alexander & Baldwin Inc,United States,Real Estate,11959011
Alexander Forbes Group Holdings Ltd,South Africa,Financials,3906753
Alexander's Inc,United States,Real Estate,3030446
Alexandria Real Estate Equities Inc,United States,Real Estate,2271480818
Alfa Financial Software Holdings PLC,United Kingdom,Technology,2916858
Alfa Laval AB,Sweden,Industrials,192927351
Alfa SAB de CV,Mexico,Industrials,52717655
